[0.072s] Invoking command in '/home/capstone/autoware.ai/build/citysim': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim -- -j12 -l12
[0.501s] [  8%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[0.633s] [  8%] Built target TrafficLightsGUIPlugin_autogen
[0.775s] [ 16%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[0.903s] [ 16%] Built target LensFlareVisualPlugin_autogen
[1.126s] [ 41%] Built target TrafficLightsGUIPlugin
[1.328s] [ 66%] Built target LensFlareVisualPlugin
[1.504s] [ 75%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[1.632s] [ 75%] Built target BloomVisualPlugin_autogen
[1.805s] [100%] Built target BloomVisualPlugin
[1.873s] Invoked command in '/home/capstone/autoware.ai/build/citysim' returned '0': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim -- -j12 -l12
[2.099s] Invoking command in '/home/capstone/autoware.ai/build/citysim': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim --target install -- -j12 -l12
[2.495s] [  8%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[2.624s] [  8%] Built target TrafficLightsGUIPlugin_autogen
[2.775s] [ 16%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[2.907s] [ 16%] Built target LensFlareVisualPlugin_autogen
[3.126s] [ 41%] Built target TrafficLightsGUIPlugin
[3.338s] [ 66%] Built target LensFlareVisualPlugin
[3.508s] [ 75%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[3.637s] [ 75%] Built target BloomVisualPlugin_autogen
[3.811s] [100%] Built target BloomVisualPlugin
[3.947s] [36mInstall the project...[0m
[4.034s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/worlds/simple_city.world
[4.034s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/scripts/Bloom2.material
[4.034s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/scripts/citysim.material
[4.034s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/scripts/Bloom2.compositor
[4.035s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/scripts/StdQuad_vp.program
[4.035s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/Bloom2_ps20.glsl
[4.035s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/BlurH_ps20.glsl
[4.035s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/BlurV_ps20.glsl
[4.035s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/Blur_vs.glsl
[4.035s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/BrightBloom2_ps20.glsl
[4.036s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/StdQuad_Tex2a_vp.glsl
[4.036s] -- Up-to-date: /home/capstone/autoware.ai/install/citysim/share/citysim-0/media/materials/programs/StdQuad_vp.glsl
[4.037s] Invoked command in '/home/capstone/autoware.ai/build/citysim' returned '0': /usr/bin/cmake --build /home/capstone/autoware.ai/build/citysim --target install -- -j12 -l12
