[0.000000] (-) TimerEvent: {}
[0.003529] (-) JobUnselected: {'identifier': 'log_tools'}
[0.003576] (-) JobUnselected: {'identifier': 'map_file'}
[0.003601] (-) JobUnselected: {'identifier': 'map_tf_generator'}
[0.003619] (-) JobUnselected: {'identifier': 'map_tools'}
[0.003642] (-) JobUnselected: {'identifier': 'marker_downsampler'}
[0.003665] (-) JobUnselected: {'identifier': 'memsic_imu'}
[0.003683] (-) JobUnselected: {'identifier': 'microstrain_driver'}
[0.003707] (-) JobUnselected: {'identifier': 'mpc_follower'}
[0.003822] (-) JobUnselected: {'identifier': 'mqtt_socket'}
[0.003857] (-) JobUnselected: {'identifier': 'mrt_cmake_modules'}
[0.003875] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.003907] (-) JobUnselected: {'identifier': 'naive_motion_predict'}
[0.003925] (-) JobUnselected: {'identifier': 'ndt_cpu'}
[0.003943] (-) JobUnselected: {'identifier': 'ndt_gpu'}
[0.003967] (-) JobUnselected: {'identifier': 'ndt_tku'}
[0.004471] (-) JobUnselected: {'identifier': 'nmea_navsat'}
[0.004570] (-) JobUnselected: {'identifier': 'obj_db'}
[0.004621] (-) JobUnselected: {'identifier': 'object_map'}
[0.004725] (-) JobUnselected: {'identifier': 'oculus_socket'}
[0.004763] (-) JobUnselected: {'identifier': 'op_global_planner'}
[0.004797] (-) JobUnselected: {'identifier': 'op_local_planner'}
[0.004828] (-) JobUnselected: {'identifier': 'op_planner'}
[0.004859] (-) JobUnselected: {'identifier': 'op_ros_helpers'}
[0.004890] (-) JobUnselected: {'identifier': 'op_simu'}
[0.004920] (-) JobUnselected: {'identifier': 'op_simulation_package'}
[0.004951] (-) JobUnselected: {'identifier': 'op_utilities'}
[0.004988] (-) JobUnselected: {'identifier': 'op_utility'}
[0.005019] (-) JobUnselected: {'identifier': 'pc2_downsampler'}
[0.005049] (-) JobUnselected: {'identifier': 'pcl_omp_registration'}
[0.005076] (-) JobUnselected: {'identifier': 'pixel_cloud_fusion'}
[0.005103] (-) JobUnselected: {'identifier': 'points2image'}
[0.005129] (-) JobUnselected: {'identifier': 'points_downsampler'}
[0.005155] (-) JobUnselected: {'identifier': 'points_preprocessor'}
[0.005209] (-) JobUnselected: {'identifier': 'pos_db'}
[0.005260] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.005279] (-) JobUnselected: {'identifier': 'range_vision_fusion'}
[0.005306] (-) JobUnselected: {'identifier': 'road_occupancy_processor'}
[0.005333] (-) JobUnselected: {'identifier': 'roi_object_filter'}
[0.005401] (-) JobUnselected: {'identifier': 'ros_observer'}
[0.005433] (-) JobUnselected: {'identifier': 'rosbag_controller'}
[0.005473] (-) JobUnselected: {'identifier': 'rosinterface'}
[0.005492] (-) JobUnselected: {'identifier': 'runtime_manager'}
[0.005524] (-) JobUnselected: {'identifier': 'sick_ldmrs_description'}
[0.005542] (-) JobUnselected: {'identifier': 'sick_ldmrs_driver'}
[0.005560] (-) JobUnselected: {'identifier': 'sick_ldmrs_laser'}
[0.005589] (-) JobUnselected: {'identifier': 'sick_ldmrs_msgs'}
[0.005617] (-) JobUnselected: {'identifier': 'sick_ldmrs_tools'}
[0.005643] (-) JobUnselected: {'identifier': 'sick_lms5xx'}
[0.005667] (-) JobUnselected: {'identifier': 'sound_player'}
[0.005714] (-) JobUnselected: {'identifier': 'state_machine_lib'}
[0.005740] (-) JobUnselected: {'identifier': 'tablet_socket'}
[0.005759] (-) JobUnselected: {'identifier': 'tablet_socket_msgs'}
[0.005782] (-) JobUnselected: {'identifier': 'trafficlight_recognizer'}
[0.005801] (-) JobUnselected: {'identifier': 'twist2odom'}
[0.005818] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.005842] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.005893] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.005924] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.005948] (-) JobUnselected: {'identifier': 'vectacam'}
[0.005966] (-) JobUnselected: {'identifier': 'vector_map'}
[0.005986] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.006003] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.006020] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.006051] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.006098] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.006123] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.006141] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.006164] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.006182] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.006199] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.006223] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.006503] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.006685] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.007622] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.007667] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.007770] (-) JobUnselected: {'identifier': 'vlg22c_cam'}
[0.007818] (-) JobUnselected: {'identifier': 'way_planner'}
[0.008490] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.008521] (-) JobUnselected: {'identifier': 'waypoint_planner'}
[0.008543] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.008562] (-) JobUnselected: {'identifier': 'xsens_driver'}
[0.008690] (-) JobUnselected: {'identifier': 'ymc'}
[0.008779] (autoware_build_flags) JobQueued: {'identifier': 'autoware_build_flags', 'dependencies': OrderedDict()}
[0.008841] (autoware_msgs) JobQueued: {'identifier': 'autoware_msgs', 'dependencies': OrderedDict()}
[0.008871] (lidar_point_pillars) JobQueued: {'identifier': 'lidar_point_pillars', 'dependencies': OrderedDict([('autoware_build_flags', '/home/capstone/autoware.ai/install/autoware_build_flags'), ('autoware_msgs', '/home/capstone/autoware.ai/install/autoware_msgs')])}
[0.008905] (autoware_build_flags) JobStarted: {'identifier': 'autoware_build_flags'}
[0.028417] (autoware_msgs) JobStarted: {'identifier': 'autoware_msgs'}
[0.046725] (autoware_build_flags) JobProgress: {'identifier': 'autoware_build_flags', 'progress': 'cmake'}
[0.047471] (autoware_build_flags) JobProgress: {'identifier': 'autoware_build_flags', 'progress': 'build'}
