[0.000000] (-) TimerEvent: {}
[0.003293] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.003308] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.003322] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.003337] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.003351] (-) JobUnselected: {'identifier': 'vectacam'}
[0.003366] (-) JobUnselected: {'identifier': 'vector_map'}
[0.003380] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.003394] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.003408] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.003423] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.003437] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.003452] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.003466] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.003480] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.003494] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.003511] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.003526] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.003540] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.003560] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.003577] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.003592] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.003609] (-) JobUnselected: {'identifier': 'vlg22c_cam'}
[0.003632] (-) JobUnselected: {'identifier': 'way_planner'}
[0.003649] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.003664] (-) JobUnselected: {'identifier': 'waypoint_planner'}
[0.003678] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.003693] (-) JobUnselected: {'identifier': 'xsens_driver'}
[0.003707] (-) JobUnselected: {'identifier': 'ymc'}
[0.003724] (autoware_build_flags) JobQueued: {'identifier': 'autoware_build_flags', 'dependencies': OrderedDict()}
[0.003741] (autoware_msgs) JobQueued: {'identifier': 'autoware_msgs', 'dependencies': OrderedDict()}
[0.003757] (lidar_point_pillars) JobQueued: {'identifier': 'lidar_point_pillars', 'dependencies': OrderedDict([('autoware_build_flags', '/home/capstone/autoware.ai/install/autoware_build_flags'), ('autoware_msgs', '/home/capstone/autoware.ai/install/autoware_msgs')])}
[0.003777] (autoware_build_flags) JobStarted: {'identifier': 'autoware_build_flags'}
[0.030997] (autoware_msgs) JobStarted: {'identifier': 'autoware_msgs'}
[0.049288] (autoware_build_flags) JobProgress: {'identifier': 'autoware_build_flags', 'progress': 'cmake'}
